MonthlyCharges,data_source,StreamingMovies,Partner,value,PhoneService,InternetService,StreamingTV,OnlineSecurity,MultipleLines,Dependents,DeviceProtection,SeniorCitizen,TotalCharges,TechSupport,gender ,PaperlessBilling,tenure,Churn,OnlineBackup,PaymentMethod,Contract,customerID
95.6,other,Yes,No,151642.0,Yes,Fiber optic,Yes,Yes,No,No,No,0.0,95.6,No,Female,Yes,1.0,Yes,No,Electronic check,Month-to-month,6356-ELRKD
99.95,other,Yes,No,151642.0,Yes,Fiber optic,Yes,Yes,No,No,Yes,0.0,2292.75,No,Male,Yes,23.0,No,No,Credit card (automatic),One year,3511-APPBJ
86.65,other,Yes,Yes,151642.0,Yes,Fiber optic,No,No,Yes,No,No,1.0,856.65,No,Male,Yes,10.0,Yes,No,Electronic check,Month-to-month,7779-LGOVN
28.5,other,No,Yes,151642.0,No,DSL,No,Yes,No phone service,No,No,0.0,629.35,No,Female,No,21.0,No,No,Electronic check,Month-to-month,0668-OGMHD
19.55,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,883.35,No internet service,Female,No,48.0,No,No internet service,Mailed check,Two year,2230-XTUWL
99.5,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,3762,No,Female,Yes,37.0,Yes,No,Electronic check,Month-to-month,2568-OIADY
79.5,other,Yes,No,151642.0,Yes,Fiber optic,No,No,No,No,No,1.0,2665,No,Female,Yes,32.0,No,No,Electronic check,Month-to-month,1730-ZMAME
20.55,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,583.3,No internet service,Female,Yes,27.0,No,No internet service,Mailed check,One year,8763-KIAFH
20.45,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,638.55,No internet service,Male,No,31.0,No,No internet service,Mailed check,Two year,5124-EOGYE
23.55,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,No,No internet service,0.0,1723.95,No internet service,Male,Yes,72.0,No,No internet service,Bank transfer (automatic),Two year,6734-PSBAW
108.25,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,0.0,5431.4,No,Male,Yes,50.0,No,Yes,Electronic check,One year,7550-WIQVA
99.0,other,No,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,6994.6,No,Male,Yes,71.0,No,Yes,Electronic check,Two year,1545-JFUML
64.85,other,Yes,No,151642.0,Yes,DSL,No,Yes,No,Yes,Yes,0.0,1336.8,No,Female,No,21.0,No,No,Mailed check,One year,4223-BKEOR
25.05,other,No,No,151642.0,No,DSL,No,No,No phone service,No,No,0.0,852.7,No,Male,Yes,34.0,No,No,Bank transfer (automatic),Month-to-month,6345-HOVES
105.05,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,0.0,6004.85,Yes,Male,Yes,58.0,No,No,Bank transfer (automatic),One year,7544-ZVIKX
89.85,other,No,No,151642.0,Yes,Fiber optic,Yes,No,No,No,Yes,0.0,244.45,Yes,Male,Yes,3.0,No,No,Mailed check,Month-to-month,7952-OBOYL
104.5,other,No,No,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,6590.8,Yes,Male,No,63.0,No,Yes,Credit card (automatic),One year,0565-JUPYD
96.25,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,No,No,No,0.0,512.45,No,Female,Yes,5.0,Yes,Yes,Electronic check,Month-to-month,7548-SEPYI
100.9,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,7459.05,No,Male,Yes,72.0,No,Yes,Bank transfer (automatic),Two year,9848-JQJTX
103.7,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,No,0.0,5071.05,Yes,Male,No,50.0,Yes,Yes,Electronic check,Month-to-month,1842-EZJMK
104.3,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,0.0,4451.85,Yes,Male,Yes,43.0,No,No,Credit card (automatic),One year,9154-QDGTH
55.3,other,Yes,No,151642.0,Yes,DSL,No,No,No,Yes,No,0.0,108.65,No,Male,Yes,2.0,No,No,Electronic check,Month-to-month,8903-XEBGX
85.4,other,No,Yes,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,401.1,Yes,Male,Yes,5.0,Yes,Yes,Electronic check,Month-to-month,6432-TWQLB
70.35,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,70.35,No,Male,Yes,1.0,No,No,Electronic check,Month-to-month,7465-ZZRVX
79.2,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,Yes,0.0,4765,No,Female,Yes,60.0,No,No,Bank transfer (automatic),One year,0233-FTHAV
19.45,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,86.05,No internet service,Male,No,5.0,No,No internet service,Mailed check,Month-to-month,1257-SXUXQ
20.45,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,242.4,No internet service,Male,No,10.0,No,No internet service,Mailed check,One year,3724-BSCVH
111.4,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,1183.05,Yes,Male,Yes,11.0,No,Yes,Electronic check,Month-to-month,3292-PBZEJ
100.7,other,No,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,1.0,4541.2,No,Male,Yes,46.0,Yes,Yes,Electronic check,Month-to-month,7641-EUYET
105.9,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,6401.25,No,Female,Yes,60.0,No,Yes,Electronic check,Month-to-month,5647-FXOTP
50.4,other,No,Yes,151642.0,Yes,DSL,No,No,No,No,No,1.0,1527.5,No,Male,Yes,30.0,Yes,Yes,Bank transfer (automatic),Month-to-month,7776-QWNFX
76.2,other,No,Yes,151642.0,Yes,Fiber optic,No,No,No,No,Yes,0.0,76.2,No,Male,No,1.0,Yes,No,Electronic check,Month-to-month,9444-JTXHZ
20.35,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,35.1,No internet service,Female,No,2.0,No,No internet service,Credit card (automatic),Month-to-month,5562-YJQGT
49.9,other,Yes,Yes,151642.0,No,DSL,No,Yes,No phone service,No,Yes,0.0,2782.4,Yes,Female,Yes,57.0,No,No,Bank transfer (automatic),Month-to-month,3621-CHYVB
94.25,other,No,Yes,151642.0,Yes,Fiber optic,No,Yes,Yes,No,Yes,0.0,6849.75,Yes,Female,Yes,72.0,No,Yes,Bank transfer (automatic),Two year,4024-CSNBY
55.95,other,No,Yes,151642.0,Yes,DSL,Yes,No,No,Yes,No,0.0,1082.8,No,Female,No,18.0,No,No,Mailed check,Month-to-month,8930-XOTDP
84.45,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,No,Yes,0.0,6033.1,Yes,Male,No,72.0,No,Yes,Mailed check,Two year,5766-FTRTS
84.5,other,No,Yes,151642.0,Yes,Fiber optic,No,No,Yes,Yes,Yes,0.0,916.9,No,Female,Yes,12.0,Yes,Yes,Electronic check,Month-to-month,5520-FVEWJ
20.3,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,41.2,No internet service,Female,No,2.0,No,No internet service,Mailed check,Month-to-month,2342-CKIAO
43.8,other,No,Yes,151642.0,Yes,DSL,No,No,No,No,No,0.0,592.65,No,Female,No,13.0,No,No,Electronic check,One year,3638-DIMPH
89.15,other,No,No,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,No,0.0,4245.55,No,Male,Yes,46.0,No,No,Credit card (automatic),Month-to-month,5575-TPIZQ
65.6,other,No,Yes,151642.0,Yes,DSL,Yes,No,Yes,No,Yes,0.0,250.1,No,Male,No,4.0,No,No,Electronic check,Month-to-month,8404-GFGCZ
19.85,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,19.85,No internet service,Male,No,1.0,No,No internet service,Credit card (automatic),One year,1064-FBXNK
105.25,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,0.0,4997.5,No,Female,Yes,48.0,No,Yes,Credit card (automatic),Month-to-month,6891-JPYFF
74.2,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,1.0,74.2,No,Female,Yes,1.0,Yes,No,Electronic check,Month-to-month,1833-VGRUM
45.3,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,196.95,No,Female,Yes,4.0,Yes,No,Mailed check,Month-to-month,8229-TNIQA
74.7,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,74.7,No,Female,Yes,1.0,Yes,Yes,Electronic check,Month-to-month,3765-JXVKY
99.15,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,No,Yes,No,0.0,6171.2,Yes,Male,Yes,64.0,No,Yes,Credit card (automatic),Month-to-month,9974-JFBHQ
84.35,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,Yes,No,Yes,0.0,3571.6,Yes,Female,No,42.0,No,No,Credit card (automatic),Two year,9194-GFVOI
20.7,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,73.05,No internet service,Male,No,4.0,No,No internet service,Mailed check,Month-to-month,9367-OIUXP
69.7,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,69.7,No,Female,No,1.0,Yes,No,Bank transfer (automatic),Month-to-month,4501-EQDRN
20.35,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,20.35,No internet service,Female,No,1.0,No,No internet service,Mailed check,Two year,1099-GODLO
106.4,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,5127.95,No,Female,Yes,47.0,Yes,Yes,Electronic check,Month-to-month,8938-UMKPI
84.95,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,Yes,No,No,0.0,5150.55,Yes,Female,Yes,62.0,No,Yes,Electronic check,Two year,6691-CCIHA
55.95,other,Yes,Yes,151642.0,No,DSL,Yes,Yes,No phone service,Yes,Yes,0.0,1157.05,No,Female,Yes,21.0,Yes,No,Electronic check,One year,2898-LSJGD
98.55,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,1842.8,No,Male,Yes,20.0,Yes,No,Electronic check,Month-to-month,6683-VLCTZ
19.9,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,357.7,No internet service,Male,No,19.0,No,No internet service,Mailed check,One year,8748-HFWBO
58.95,other,Yes,Yes,151642.0,Yes,DSL,No,No,No,No,No,1.0,2789.7,No,Female,Yes,48.0,No,Yes,Bank transfer (automatic),One year,6941-KXRRV
45.45,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,141.7,No,Male,No,3.0,No,No,Mailed check,Month-to-month,4061-UKJWL
,other,,Yes,151642.0,Yes,,,,,Yes,,0.0,,,Male,,70.0,,,,,6797-LNAQX
79.8,other,No,No,151642.0,Yes,Fiber optic,No,Yes,Yes,No,No,0.0,4526.85,No,Female,Yes,58.0,No,No,Bank transfer (automatic),Month-to-month,1867-TJHTS
105.5,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,No,No,No,1.0,6205.5,Yes,Female,Yes,58.0,Yes,Yes,Credit card (automatic),One year,0193-ESZXP
64.1,other,No,Yes,151642.0,Yes,DSL,Yes,No,No,No,No,0.0,4326.25,Yes,Female,No,68.0,No,Yes,Bank transfer (automatic),Two year,9281-CEDRU
95.4,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,1.0,2025.1,No,Female,Yes,21.0,No,No,Bank transfer (automatic),Month-to-month,9279-CJEOJ
54.15,other,No,No,151642.0,Yes,DSL,No,No,Yes,No,No,0.0,101.65,No,Female,No,2.0,No,Yes,Mailed check,Month-to-month,8654-DHAOW
60.7,other,Yes,Yes,151642.0,Yes,DSL,No,No,No,No,Yes,1.0,1597.4,No,Female,No,26.0,No,No,Mailed check,One year,7105-MXJLL
65.65,other,No,Yes,151642.0,Yes,DSL,No,Yes,Yes,No,Yes,0.0,4322.85,No,Female,No,67.0,No,Yes,Mailed check,Two year,4102-HLENU
105.95,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,4335.2,Yes,Female,Yes,40.0,No,No,Credit card (automatic),One year,0691-NIKRI
65.2,other,No,Yes,151642.0,Yes,DSL,Yes,No,Yes,Yes,Yes,1.0,3965.05,No,Female,Yes,61.0,No,No,Electronic check,One year,5446-DKWYW
65.0,other,No,Yes,151642.0,Yes,DSL,Yes,No,No,Yes,No,0.0,3363.8,Yes,Male,No,53.0,No,Yes,Credit card (automatic),Month-to-month,7691-KGKGP
98.35,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,No,0.0,4889.2,No,Female,Yes,49.0,No,Yes,Electronic check,Month-to-month,3545-CNWRG
29.15,other,No,No,151642.0,No,DSL,No,Yes,No phone service,No,No,0.0,110.05,No,Female,Yes,4.0,No,No,Mailed check,Month-to-month,9626-WEQRM
79.05,other,No,Yes,151642.0,Yes,Fiber optic,No,Yes,Yes,Yes,No,0.0,5730.7,No,Female,No,72.0,No,No,Bank transfer (automatic),Two year,7564-GHCVB
20.2,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,1192.3,No internet service,Male,Yes,59.0,No,No internet service,Bank transfer (automatic),Two year,1955-IBMMB
24.8,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1229.1,No internet service,Male,No,52.0,No,No internet service,Mailed check,Two year,1248-DYXUB
